## V-PEACH PL 突合先リファレンス — 2026年3月（実CSVベース・割引適用済み）
## 生成日: 2026-06-01
## ソース:
##   売上: 馬場本店/中野店/馬場2号店 Airメイト CSV（シーシャ・物販 売上合計）
##   割引: 各店舗 2月/3月 Airレジ CSV → billing period 内の割引額を合算して提供売上から控除
##   枠数: vangvieng_shifts_202603.csv + vangvieng_segments.csv + vangvieng_staffs.csv
##   人件費: total_variable_payroll=1,200,000 / ryo_hourly_rate=1,300
## 前提: V-MINT変動費=0（フレーバー・炭・ジュース原価は全て0）
## 許容誤差: ±1円（浮動小数点）

## --- Billing Period（Airメイトファイル名から）---
店舗,Airメイトファイル（billing period）,start_date,end_date
馬場本店,馬場本店airmate_rawdata_category_abc_20260226-20260322.csv,2026-02-26,2026-03-22
中野店,中野店airmate_rawdata_category_abc_20260225-20260324.csv,2026-02-25,2026-03-24
馬場2号店,馬場2号店airmate_rawdata_category_abc_20260220-20260322.csv,2026-02-20,2026-03-22

## --- 売上・割引インプット（Airメイト + Airレジ）---
店舗,raw_service_sales,total_discount（billing period内）,service_sales（割引後）,merchandise_sales
馬場本店,1274400,6600,1267800,111000
中野店,2406100,8500,2397600,254000
馬場2号店,2315800,14100,2301700,246150

## --- 枠数インプット（シフトCSV + マスタ）---
## ※ 固定給スタッフ（立花・木村・中道・塚本）はバイト枠から除外
## ※ 祝日: 2026-03-20（春分の日）+ 土日
店舗,pt_slots_6h,pt_slots_7.5h,pt重みつき枠数,ryo_slots_6h,ryo_slots_7.5h,ryo重みつき枠数,営業日数
馬場本店,28,5,205.5,3,4,48.0,31
中野店,25,2,165.0,0,0,0.0,31
馬場2号店,20,12,210.0,0,5,37.5,31
全店合計バイト重みつき枠数,,,,,,580.5,

## --- 馬場本店 / 202603 ---
項目,金額（円）,比率（税引後売上比）
①提供売上（税込・割引後）,1267800,
②物販売上（税込）,111000,
③税込総売上（①+②）,1378800,
④消費税（③÷11）,125345,
⑤税引後総売上,1253455,100.0%
　元の提供売上（Airメイト raw）,1274400,
　割引総額（billing period内）,-6600,
⑥提供フレーバー原価（V-MINT）,0,
⑦炭原価（V-MINT）,0,
⑧ジュース原価（V-MINT）,0,
⑨物販フレーバー原価（②×10/11×89%）,89809,
⑩原価合計（⑥+⑦+⑧+⑨）,89809,7.2%
⑪粗利（⑤-⑩）,1163645,92.8%
⑫家賃,132000,10.5%
⑬人件費,724806,57.8%
　└固定給,300000,
　└変動費按分（1,200,000 × 205.5 ÷ 580.5）,424806,
　※りょーさん代替コスト（参考・非計上）,62400,（6h×3 + 7.5h×4）
⑭決済手数料（⑤×2.5%）,31336,
⑮光熱費,40000,
⑯雑費,13000,
⑰販管費合計（⑫+⑬+⑭+⑮+⑯）,941143,
⑱営業利益（⑪-⑰）,222503,17.8%
労働分配率（⑬÷⑪）,62.3%,
F比（⑩÷⑤）,7.2%,
L比（⑬÷⑤）,57.8%,
R比（⑫÷⑤）,10.5%,

## --- 中野店 / 202603 ---
項目,金額（円）,比率（税引後売上比）
①提供売上（税込・割引後）,2397600,
②物販売上（税込）,254000,
③税込総売上（①+②）,2651600,
④消費税（③÷11）,241054,
⑤税引後総売上,2410545,100.0%
　元の提供売上（Airメイト raw）,2406100,
　割引総額（billing period内）,-8500,
⑥提供フレーバー原価（V-MINT）,0,
⑦炭原価（V-MINT）,0,
⑧ジュース原価（V-MINT）,0,
⑨物販フレーバー原価（②×10/11×89%）,205509,
⑩原価合計（⑥+⑦+⑧+⑨）,205509,8.5%
⑪粗利（⑤-⑩）,2205036,91.5%
⑫家賃,330000,13.7%
⑬人件費,841085,34.9%
　└固定給,500000,
　└変動費按分（1,200,000 × 165.0 ÷ 580.5）,341085,
　※りょーさん代替コスト（参考・非計上）,0,（0枠）
⑭決済手数料（⑤×2.5%）,60264,
⑮光熱費,40000,
⑯雑費,13000,
⑰販管費合計（⑫+⑬+⑭+⑮+⑯）,1284349,
⑱営業利益（⑪-⑰）,920687,38.2%
労働分配率（⑬÷⑪）,38.1%,
F比（⑩÷⑤）,8.5%,
L比（⑬÷⑤）,34.9%,
R比（⑫÷⑤）,13.7%,

## --- 馬場2号店 / 202603 ---
項目,金額（円）,比率（税引後売上比）
①提供売上（税込・割引後）,2301700,
②物販売上（税込）,246150,
③税込総売上（①+②）,2547850,
④消費税（③÷11）,231622,
⑤税引後総売上,2316227,100.0%
　元の提供売上（Airメイト raw）,2315800,
　割引総額（billing period内）,-14100,
⑥提供フレーバー原価（V-MINT）,0,
⑦炭原価（V-MINT）,0,
⑧ジュース原価（V-MINT）,0,
⑨物販フレーバー原価（②×10/11×89%）,199158,
⑩原価合計（⑥+⑦+⑧+⑨）,199158,8.6%
⑪粗利（⑤-⑩）,2117070,91.4%
⑫家賃,206000,8.9%
⑬人件費,684109,29.5%
　└固定給,250000,
　└変動費按分（1,200,000 × 210.0 ÷ 580.5）,434109,
　※りょーさん代替コスト（参考・非計上）,48750,（7.5h×5）
⑭決済手数料（⑤×2.5%）,57906,
⑮光熱費,40000,
⑯雑費,13000,
⑰販管費合計（⑫+⑬+⑭+⑮+⑯）,1001014,
⑱営業利益（⑪-⑰）,1116055,48.2%
労働分配率（⑬÷⑪）,32.3%,
F比（⑩÷⑤）,8.6%,
L比（⑬÷⑤）,29.5%,
R比（⑫÷⑤）,8.9%,

## --- 全社合計 / 202603 ---
項目,金額（円）,比率（税引後売上比）
⑤税引後総売上（3店舗合計）,5980227,100.0%
⑩原価合計,494476,8.3%
⑪粗利,5485751,91.7%
⑫家賃合計,668000,11.2%
⑬人件費合計,2250000,37.6%
　└固定給計,1050000,
　└変動費計（=total_variable_payroll）,1200000,
⑭決済手数料合計,149506,
⑮光熱費合計,120000,
⑯雑費合計,39000,
⑰販管費合計,3226506,
⑱営業利益,2259246,37.8%
⑲役員報酬,550000,
⑳借入返済,1000000,
㉑純現金収支（⑱-⑲-⑳）,709246,
労働分配率（⑬÷⑪）,41.0%,
F比（⑩÷⑤）,8.3%,
L比（⑬÷⑤）,37.6%,
R比（⑫÷⑤）,11.2%,
