èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20251201,85300,23,3708,26,3280,61,35300,50000,0
20251203,58700,19,3089,23,2552,43,28500,30200,0
20251204,60800,17,3576,23,2643,44,24900,35900,0
20251205,59100,19,3110,22,2686,46,8200,50900,-500
20251206,127000,33,3848,44,2886,98,51900,75100,-600
20251207,120600,34,3547,45,2680,95,36600,84000,0
20251208,44100,14,3150,15,2940,32,17400,26700,-300
20251210,92300,25,3692,28,3296,64,33000,59300,-600
20251211,64800,19,3410,23,2817,49,19400,45400,0
20251212,80200,20,4010,20,4010,50,16900,63300,0
20251213,108600,30,3620,37,2935,80,23300,85300,-600
20251214,123700,33,3748,42,2945,91,52600,71100,-300
20251215,76700,23,3334,24,3195,54,32900,43800,0
20251217,96800,28,3457,32,3025,69,32500,64300,-300
20251218,55200,18,3066,19,2905,40,20600,34600,0
20251219,86300,28,3082,30,2876,64,26000,60300,0
20251220,117800,35,3365,48,2454,93,26500,91300,-1100
20251221,120500,31,3887,41,2939,93,36600,83900,-300
20251222,96800,26,3723,34,2847,76,38100,58700,-1700
20251224,90000,25,3600,39,2307,70,37200,52800,-1100
20251225,62500,18,3472,22,2840,47,19600,42900,0
20251226,108900,32,3403,36,3025,86,35500,73400,-600
20251227,111400,31,3593,37,3010,85,31100,80300,-300
20251228,145100,33,4396,40,3627,100,53100,92000,-1800
20251229,148100,37,4002,52,2848,118,44100,104000,-500
