èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260201,101600,27,3762,35,2902,77,26800,74800,-500
20260202,64700,20,3235,23,2813,49,16600,48100,-600
20260203,60500,16,3781,21,2880,46,29100,31400,-1200
20260204,53600,17,3152,20,2680,42,8100,45500,-600
20260205,70800,22,3218,25,2832,51,2700,68100,-900
20260206,65000,21,3095,26,2500,51,15400,49600,-900
20260207,101950,30,3398,32,3185,73,36550,65400,-700
20260208,70000,16,4375,17,4117,48,15300,54700,0
20260209,65900,21,3138,23,2865,45,9900,56000,0
20260210,73000,21,3476,27,2703,55,13400,59600,0
20260211,92800,25,3712,29,3200,69,28700,64100,-300
20260212,80000,24,3333,25,3200,56,25300,54700,-600
20260213,152300,31,4912,40,3807,62,52400,99900,0
20260214,102300,26,3934,37,2764,82,43500,58800,-500
20260215,101600,31,3277,36,2822,76,38700,62900,-1200
20260216,64400,21,3066,24,2683,45,24800,39600,-600
20260217,60100,17,3535,20,3005,43,29000,31100,-300
20260218,72700,19,3826,20,3635,53,28700,44000,-600
20260219,75300,20,3765,26,2896,63,40900,34400,-600
20260220,61400,19,3231,26,2361,48,18300,43100,-1000
20260221,90400,23,3930,33,2739,67,38500,51900,-900
20260222,101600,26,3907,33,3078,72,8900,92700,-300
20260223,94300,25,3772,31,3041,71,28600,65700,-500
20260224,53300,15,3553,20,2665,40,14500,38800,0
20260225,67100,20,3355,21,3195,44,5400,61700,-300
20260226,87800,23,3817,27,3251,70,25400,62400,-900
20260227,75600,23,3286,29,2606,60,32200,43400,-400
20260228,99500,28,3553,30,3316,68,26600,72900,0
