èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20251201,62400,15,4160,18,3466,47,18700,43700,-300
20251203,91300,21,4347,23,3969,57,34400,56900,0
20251204,42400,12,3533,15,2826,33,13700,28700,-600
20251205,56200,16,3512,18,3122,40,23200,33000,0
20251206,40800,11,3709,15,2720,30,17000,23800,-400
20251207,75700,17,4452,19,3984,48,26900,48800,-200
20251208,57500,17,3382,19,3026,42,15900,41600,-600
20251210,54100,17,3182,17,3182,38,14900,39200,0
20251211,44800,14,3200,15,2986,31,16700,28100,-600
20251212,39100,10,3910,12,3258,29,15000,24100,-700
20251213,59800,14,4271,19,3147,40,17900,41900,0
20251214,43900,11,3990,14,3135,31,16000,27900,-400
20251215,62200,19,3273,21,2961,46,15900,46300,-600
20251217,78500,22,3568,24,3270,52,47600,30900,-300
20251218,35600,11,3236,11,3236,23,10000,25600,0
20251219,74000,20,3700,23,3217,53,25700,48300,0
20251220,48900,13,3761,17,2876,34,2700,46200,0
20251221,93700,20,4685,28,3346,62,24000,69700,0
20251222,51300,18,2850,18,2850,37,8800,42500,-400
20251224,64300,19,3384,21,3061,46,23300,41000,-600
20251225,61000,16,3812,18,3388,40,17600,43400,-300
20251226,40900,13,3146,14,2921,29,16200,24700,0
20251227,76700,20,3835,27,2840,57,39500,37200,0
20251228,75200,20,3760,25,3008,55,15200,60000,-600
20251229,85200,18,4733,25,3408,59,24300,60900,-200
