ãíì_ID,è]ã∆àıID,ì˙ït,ãŒñ±ãÊï™
7,2,2026-04-03,81
7,2,2026-04-04,83
7,2,2026-04-06,81
7,2,2026-04-07,85
7,2,2026-04-08,81
7,2,2026-04-09,90
7,2,2026-04-10,81
7,2,2026-04-11,83
7,2,2026-04-13,81
7,2,2026-04-18,83
7,2,2026-04-19,81
7,2,2026-04-20,81
7,2,2026-04-22,81
7,2,2026-04-23,82
7,2,2026-04-24,81
7,2,2026-04-25,83
7,2,2026-04-27,81
7,2,2026-04-28,85
7,2,2026-04-29,83
7,10,2026-04-02,81
7,10,2026-04-03,77
7,10,2026-04-04,81
7,10,2026-04-05,83
7,10,2026-04-07,81
7,10,2026-04-09,81
7,10,2026-04-10,77
7,10,2026-04-11,81
7,10,2026-04-12,83
7,10,2026-04-14,81
7,10,2026-04-15,81
7,10,2026-04-16,81
7,10,2026-04-17,81
7,10,2026-04-18,81
7,10,2026-04-19,83
7,10,2026-04-21,81
7,10,2026-04-22,90
7,10,2026-04-23,81
7,10,2026-04-24,77
7,10,2026-04-25,81
7,10,2026-04-26,83
7,10,2026-04-28,81
7,10,2026-04-30,81
7,14,2026-04-02,78
7,14,2026-04-03,78
7,14,2026-04-04,78
7,14,2026-04-09,78
7,14,2026-04-10,78
7,14,2026-04-11,78
7,14,2026-04-14,78
7,14,2026-04-15,82
7,14,2026-04-16,78
7,14,2026-04-17,78
7,14,2026-04-18,78
7,14,2026-04-23,78
7,14,2026-04-24,78
7,14,2026-04-25,78
7,14,2026-04-30,78
7,15,2026-04-01,77
7,15,2026-04-02,82
7,15,2026-04-04,77
7,15,2026-04-05,81
7,15,2026-04-06,77
7,15,2026-04-08,77
7,15,2026-04-09,82
7,15,2026-04-11,77
7,15,2026-04-12,81
7,15,2026-04-13,77
7,15,2026-04-14,77
7,15,2026-04-15,77
7,15,2026-04-16,82
7,15,2026-04-18,77
7,15,2026-04-19,77
7,15,2026-04-20,77
7,15,2026-04-22,77
7,15,2026-04-25,77
7,15,2026-04-26,81
7,15,2026-04-27,77
7,15,2026-04-29,77
7,15,2026-04-30,77
7,17,2026-04-01,81
7,17,2026-04-02,77
7,17,2026-04-05,78
7,17,2026-04-08,82
7,17,2026-04-09,77
7,17,2026-04-12,78
7,17,2026-04-13,82
7,17,2026-04-22,82
7,17,2026-04-23,77
7,17,2026-04-26,78
7,17,2026-04-27,82
7,17,2026-04-29,81
7,17,2026-04-30,82
7,18,2026-04-01,85
7,18,2026-04-02,85
7,18,2026-04-03,85
7,18,2026-04-05,85
7,18,2026-04-06,85
7,18,2026-04-09,85
7,18,2026-04-10,85
7,18,2026-04-12,85
7,18,2026-04-13,85
7,18,2026-04-15,85
7,18,2026-04-16,85
7,18,2026-04-17,85
7,18,2026-04-20,85
7,18,2026-04-21,85
7,18,2026-04-22,85
7,18,2026-04-23,85
7,18,2026-04-24,85
7,18,2026-04-26,85
7,18,2026-04-27,85
7,18,2026-04-29,85
7,19,2026-04-06,86
7,19,2026-04-13,86
7,19,2026-04-27,86
7,24,2026-04-01,86
7,24,2026-04-03,82
7,24,2026-04-05,82
7,24,2026-04-06,82
7,24,2026-04-08,86
7,24,2026-04-10,82
7,24,2026-04-12,82
7,24,2026-04-15,86
7,24,2026-04-17,82
7,24,2026-04-19,86
7,24,2026-04-20,82
7,24,2026-04-22,86
7,24,2026-04-24,82
7,24,2026-04-26,82
7,24,2026-04-29,82
7,26,2026-04-01,82
7,26,2026-04-04,82
7,26,2026-04-07,82
7,26,2026-04-11,82
7,26,2026-04-14,82
7,26,2026-04-18,82
7,26,2026-04-19,82
7,26,2026-04-21,82
7,26,2026-04-25,82
7,26,2026-04-28,82
7,27,2026-04-03,86
7,27,2026-04-05,86
7,27,2026-04-07,78
7,27,2026-04-10,86
7,27,2026-04-12,86
7,27,2026-04-15,78
7,27,2026-04-20,78
7,27,2026-04-21,78
7,27,2026-04-24,86
7,27,2026-04-26,86
7,27,2026-04-28,78
7,27,2026-04-30,86
7,28,2026-04-01,78
7,28,2026-04-02,86
7,28,2026-04-04,86
7,28,2026-04-06,78
7,28,2026-04-07,86
7,28,2026-04-08,78
7,28,2026-04-09,86
7,28,2026-04-11,86
7,28,2026-04-13,78
7,28,2026-04-14,86
7,28,2026-04-16,86
7,28,2026-04-17,86
7,28,2026-04-18,86
7,28,2026-04-19,78
7,28,2026-04-20,86
7,28,2026-04-21,86
7,28,2026-04-22,78
7,28,2026-04-23,86
7,28,2026-04-25,86
7,28,2026-04-27,78
7,28,2026-04-28,86
7,28,2026-04-29,78
7,29,2026-04-08,87
7,29,2026-04-12,87
7,29,2026-04-15,87
7,29,2026-04-20,87
7,29,2026-04-26,87
7,29,2026-04-29,87
