èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260401,75600,22,3436,28,2700,55,31100,44500,0
20260402,75500,21,3595,24,3145,50,25800,49700,0
20260403,100000,31,3225,39,2564,76,29400,70600,0
20260404,140900,35,4025,46,3063,116,30200,110700,0
20260405,138300,33,4190,47,2942,106,24100,114200,0
20260406,95400,26,3669,32,2981,66,36100,59300,-300
20260407,61300,19,3226,21,2919,44,23800,37500,0
20260408,107600,26,4138,36,2988,84,27900,79700,0
20260409,78700,23,3421,31,2538,59,11600,67100,0
20260410,105000,29,3620,31,3387,74,26700,78300,-1600
20260411,125200,38,3294,48,2608,98,25800,99400,-300
20260412,100400,31,3238,40,2510,77,27600,72800,0
20260413,103800,31,3348,35,2965,75,35600,68200,-400
20260414,47800,16,2987,18,2655,36,10800,37000,0
20260415,76600,23,3330,31,2470,58,40800,35800,0
20260416,114000,39,2923,46,2478,88,26700,87300,-600
20260417,73200,23,3182,27,2711,55,22400,50800,0
20260418,140800,41,3434,57,2470,111,16800,124000,-300
20260419,91100,21,4338,28,3253,69,21000,70100,0
20260420,82100,23,3569,29,2831,63,21500,60600,0
20260421,87500,26,3365,32,2734,64,31700,55800,0
20260422,97900,30,3263,34,2879,71,32700,65200,-300
20260423,77400,22,3518,29,2668,58,32300,45100,-400
20260424,110600,28,3950,36,3072,76,29100,81500,-600
20260425,135500,33,4106,44,3079,101,24200,111300,0
20260426,88000,26,3384,37,2378,70,21500,66500,0
20260427,71600,24,2983,27,2651,52,29300,42300,0
20260428,90700,24,3779,34,2667,69,32800,57900,0
20260429,106500,32,3328,45,2366,84,9800,96700,0
20260430,101100,33,3063,38,2660,78,45200,55900,-900
