èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260104,118600,30,3953,39,3041,85,48700,69900,-800
20260105,61900,21,2947,23,2691,46,14500,47400,-300
20260106,57800,13,4446,18,3211,43,20900,36900,-300
20260107,69600,19,3663,22,3163,47,15100,54500,-900
20260108,57000,17,3352,20,2850,40,5400,51600,-600
20260109,98500,23,4282,30,3283,74,11800,86700,-2100
20260110,64800,20,3240,25,2592,51,19500,45300,-300
20260111,88000,24,3666,32,2750,65,17900,70100,0
20260112,108800,28,3885,36,3022,79,33300,75500,-500
20260113,55600,14,3971,18,3088,42,9100,46500,0
20260114,50800,18,2822,21,2419,40,14300,36500,-300
20260115,74800,23,3252,27,2770,57,38500,36300,-1200
20260116,72500,23,3152,27,2685,56,21200,51300,0
20260117,93600,27,3466,36,2600,69,6400,87200,-900
20260118,51500,17,3029,21,2452,39,8300,43200,-500
20260119,73100,19,3847,30,2436,58,17600,55500,0
20260120,55100,16,3443,19,2900,40,22000,33100,-300
20260121,64800,18,3600,23,2817,48,17600,47200,-300
20260122,80300,24,3345,29,2768,57,17800,62500,0
20260123,80300,24,3345,31,2590,58,27600,52700,-200
20260124,90000,28,3214,30,3000,63,36900,53100,-900
20260125,92350,28,3298,38,2430,70,35500,56850,-600
20260126,52800,19,2778,20,2640,41,8600,44200,0
20260127,78500,21,3738,27,2907,57,25800,52700,-200
20260128,70900,20,3545,25,2836,53,13500,57400,-800
20260129,84400,17,4964,21,4019,54,17200,67200,0
20260130,72300,18,4016,26,2780,57,9800,62500,0
20260131,75500,23,3282,28,2696,56,28000,47500,-900
