èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260301,100100,23,4352,33,3033,76,22500,77600,-700
20260302,74050,18,4113,20,3702,52,9500,64550,-900
20260303,121800,26,4684,38,3205,92,45300,76500,-900
20260304,76000,24,3166,28,2714,59,19700,56300,0
20260305,73500,19,3868,25,2940,55,15000,58500,0
20260306,79400,21,3780,28,2835,59,26900,52500,-300
20260307,99500,25,3980,30,3316,64,26000,73500,-300
20260308,78500,20,3925,26,3019,56,19700,58800,0
20260309,42800,14,3057,16,2675,33,6800,36000,-600
20260310,57500,19,3026,22,2613,43,18000,39500,-600
20260311,69100,24,2879,27,2559,52,12600,56500,0
20260312,79000,21,3761,27,2925,59,19200,59800,-900
20260313,81200,19,4273,28,2900,59,35500,45700,-300
20260314,124500,31,4016,37,3364,78,34500,90000,-800
20260315,111200,27,4118,38,2926,89,22600,88600,-1400
20260316,71700,23,3117,26,2757,55,18600,53100,-300
20260317,70300,21,3347,24,2929,51,29700,40600,0
20260318,65300,20,3265,29,2251,57,25400,39900,-600
20260319,79100,20,3955,27,2929,54,14500,64600,-900
20260320,91400,24,3808,32,2856,65,18700,72700,0
20260321,64800,20,3240,25,2592,47,17000,47800,0
20260322,106100,27,3929,37,2867,76,22900,83200,-300
20260323,64600,16,4037,20,3230,47,7100,57500,0
20260324,57900,18,3216,22,2631,45,20400,37500,-900
20260325,72000,19,3789,24,3000,51,7900,64100,0
20260326,76200,23,3313,29,2627,60,14600,61600,-300
20260327,46300,13,3561,16,2893,36,9800,36500,0
20260328,109300,27,4048,36,3036,78,21600,87700,-600
20260329,88700,26,3411,32,2771,67,40200,48500,0
20260330,87900,20,4395,26,3380,60,29500,58400,-900
20260331,54900,17,3229,21,2614,43,11500,43400,-400
