èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260301,75200,19,3957,26,2892,54,25100,50100,-500
20260302,35000,11,3181,12,2916,26,0,35000,0
20260303,55300,18,3072,19,2910,39,16600,38700,-300
20260304,16600,7,2371,7,2371,12,0,16600,-300
20260305,45400,16,2837,18,2522,34,14200,31200,0
20260306,45000,14,3214,17,2647,33,3300,41700,0
20260307,48000,14,3428,19,2526,39,17500,30500,0
20260308,59400,17,3494,20,2970,43,10800,48600,-400
20260309,45800,12,3816,15,3053,34,13500,32300,0
20260310,56300,15,3753,19,2963,44,7900,48400,0
20260311,29200,8,3650,8,3650,20,7800,21400,-300
20260312,57600,17,3388,19,3031,41,12400,45200,0
20260313,78200,20,3910,25,3128,54,17900,60300,0
20260314,85500,25,3420,28,3053,62,25500,60000,-1000
20260315,51800,14,3700,18,2877,38,7100,44700,-300
20260316,42500,11,3863,15,2833,32,2700,39800,-400
20260317,63400,16,3962,19,3336,41,20400,43000,-300
20260318,53500,15,3566,19,2815,38,17000,36500,-600
20260319,56100,18,3116,21,2671,44,8100,48000,-500
20260320,60700,15,4046,19,3194,44,22300,38400,0
20260321,83100,17,4888,22,3777,56,19600,63500,0
20260322,66800,19,3515,27,2474,51,5400,61400,-600
20260323,56400,14,4028,20,2820,44,19700,36700,-200
20260324,54100,16,3381,20,2705,38,13300,40800,0
20260325,68400,17,4023,19,3600,44,38000,30400,0
20260326,28600,11,2600,12,2383,21,13600,15000,-600
20260327,60400,16,3775,19,3178,43,18000,42400,0
20260328,106200,28,3792,32,3318,76,31300,74900,-600
20260329,63900,19,3363,23,2778,45,8900,55000,0
20260330,56900,19,2994,21,2709,42,18600,38300,-1000
20260331,33200,10,3320,12,2766,27,18800,14400,-900
